GENENAME;TYPE;PMID;OMIMGENE;ORIGINALENTRY;OMIMDISEASE
CCDC151;Ciliary dyskinesia, primary, 30;17357067;615956;Ciliary dyskinesia, primary, 30, 616037 (3);616037
CCDC180;Cataract 36;17357067;611258;Cataract 36, 613887 (3);613887
CCDC28B;Bardet-Biedl syndrome 1, modifier of;17357067;610162;{Bardet-Biedl syndrome 1, modifier of}, 209900 (3);209900
CCDC39;Ciliary dyskinesia, primary, 14;17357067;613798;Ciliary dyskinesia, primary, 14, 613807 (3);613807
CCDC40;Ciliary dyskinesia, primary, 15;17357067;613799;Ciliary dyskinesia, primary, 15, 613808 (3);613808
CCDC50;Deafness, autosomal dominant 44;17357067;611051;Deafness, autosomal dominant 44, 607453 (3);607453
CCDC6;Thyroid papillary carcinoma;17357067;601985;Thyroid papillary carcinoma, 188550 (1);188550
CCDC6;Tuberculin skin test reactivity, absence of;17357067;613636;[Tuberculin skin test reactivity, absence of] (2);0
CCDC65;Ciliary dyskinesia, primary, 27;17357067;611088;Ciliary dyskinesia, primary, 27, 615504 (3);615504
CCDC78;Myopathy, centronuclear, 4;17357067;614666;Myopathy, centronuclear, 4, 614807 (3);614807
CCDC8;3-M syndrome 3;17357067;614145;3-M syndrome 3, 614205 (3);614205
CCDC88C;Hydrocephalus, nonsyndromic, autosomal recessive;17357067;611204;Hydrocephalus, nonsyndromic, autosomal recessive, 236600 (3);236600
CCL11;Asthma, susceptibility to;17357067;601156;{Asthma, susceptibility to}, 600807 (3);600807
CCL11;HIV1, resistance to;17357067;601156;{HIV1, resistance to}, 609423 (3);609423
CCL2;Coronary artery disease, modifier of;17357067;158105;{Coronary artery disease, modifier of} (3);0
CCL2;HIV-1, resistance to;17357067;158105;{HIV-1, resistance to}, 609423 (3);609423
CCL2;Mycobacterium tuberculosis, susceptibility to;17357067;158105;{Mycobacterium tuberculosis, susceptibility to}, 607948 (3);607948
CCL2;Spina bifida, susceptibility to;17357067;158105;{Spina bifida, susceptibility to}, 182940 (3);182940
CCL3;HIV infection, resistance to;17357067;182283;{HIV infection, resistance to}, 609423 (2);609423
CCL3L1;HIV/AIDS, susceptibility to;17357067;601395;{HIV/AIDS, susceptibility to}, 609423 (3);609423
CCL5;HIV-1 disease, delayed progression of;17357067;187011;{HIV-1 disease, delayed progression of} (3);0
CCL5;HIV-1 disease, rapid progression of;17357067;187011;{HIV-1 disease, rapid progression of} (3);0
CCM2;Cerebral cavernous malformations-2;17357067;607929;Cerebral cavernous malformations-2, 603284 (3);603284
CCND1;Colorectal cancer, susceptibility to;17357067;168461;{Colorectal cancer, susceptibility to}, 114500 (3);114500
CCND1;Multiple myeloma, susceptibility to;17357067;168461;{Multiple myeloma, susceptibility to}, 254500 (3);254500
CCND1;von Hippel-Lindau syndrome, modifier of;17357067;168461;{von Hippel-Lindau syndrome, modifier of}, 193300 (3);193300
CCND2;Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3;17357067;123833;Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3, 615938 (3);615938
CCNO;Ciliary dyskinesia, primary, 29;17357067;607752;Ciliary dyskinesia, primary, 29, 615872 (3);615872
CCR2;HIV infection, susceptibility/resistance to;17357067;601267;{HIV infection, susceptibility/resistance to} (3);0
CCR5;Diabetes mellitus, insulin-dependent, 22;17357067;601373;{Diabetes mellitus, insulin-dependent, 22}, 612522 (3);612522
CCR5;HIV infection, susceptibility/resistance to;17357067;601373;{HIV infection, susceptibility/resistance to} (3);0
CCR5;Hepatitis C virus, resistance to;17357067;601373;{Hepatitis C virus, resistance to}, 609532 (3);609532
CCR5;West nile virus, susceptibility to;17357067;601373;{West nile virus, susceptibility to}, 610379 (3);610379
CCT5;Neuropathy, hereditary sensory, with spastic paraplegia;17357067;610150;Neuropathy, hereditary sensory, with spastic paraplegia, 256840 (3);256840
CD151;Blood group, Raph;17357067;602243;[Blood group, Raph], 179620 (3);179620
CD151;Nephropathy with pretibial epidermolysis bullosa and deafness;17357067;602243;Nephropathy with pretibial epidermolysis bullosa and deafness, 609057 (3);609057
CD19;Immunodeficiency, common variable, 3;17357067;107265;Immunodeficiency, common variable, 3, 613493 (3);613493
CD209;Dengue fever, protection against;17357067;604672;{Dengue fever, protection against}, 614371 (3);614371
CD209;HIV type 1, susceptibility to;17357067;604672;{HIV type 1, susceptibility to}, 609423 (3);609423
CD209;Mycobacterium tuberculosis, susceptibility to;17357067;604672;{Mycobacterium tuberculosis, susceptibility to}, 607948 (3);607948
CD244;Rheumatoid arthritis, susceptibility to;17357067;605554;{Rheumatoid arthritis, susceptibility to}, 180300 (3);180300
CD27;Lymphoproliferative syndrome 2;17357067;186711;Lymphoproliferative syndrome 2, 615122 (3);615122
CD2AP;Glomerulosclerosis, focal segmental, 3;17357067;604241;Glomerulosclerosis, focal segmental, 3, 607832 (3);607832
CD320;Methylmalonic aciduria due to transcobalamin receptor defect;17357067;606475;Methylmalonic aciduria due to transcobalamin receptor defect, 613646 (3);613646
CD36;Bleeding disorder, platelet-type, 11;17357067;605546;Bleeding disorder, platelet-type, 11, 614201 (3);614201
CD36;Coronary heart disease, susceptibility to, 7;17357067;173510;{Coronary heart disease, susceptibility to, 7}, 610938 (3);610938
CD36;Macrothrombocytopenia;17357067;173510;[Macrothrombocytopenia] (1);0
CD36;Malaria, cerebral, reduced risk of;17357067;173510;{Malaria, cerebral, reduced risk of}, 611162 (3);611162
CD36;Malaria, cerebral, susceptibility to;17357067;173510;{Malaria, cerebral, susceptibility to}, 611162 (3);611162
CD36;Platelet glycoprotein IV deficiency;17357067;173510;Platelet glycoprotein IV deficiency, 608404 (3);608404
CD3D;Immunodeficiency 19;17357067;186790;Immunodeficiency 19, 615617 (3);615617
CD3E;Immunodeficiency 18;17357067;186830;Immunodeficiency 18, 615615 (3);615615
CD3E;Immunodeficiency 18, SCID variant;17357067;186830;Immunodeficiency 18, SCID variant, 615615 (3);615615
CD3G;Immunodeficiency 17, CD3 gamma deficient;17357067;186740;Immunodeficiency 17, CD3 gamma deficient, 615607 (3);615607
CD4;OKT4 epitope deficiency;17357067;186940;OKT4 epitope deficiency, 613949 (3);613949
CD40;Immunodeficiency with hyper-IgM, type 3;17357067;109535;Immunodeficiency with hyper-IgM, type 3, 606843 (3);606843
CD40LG;Immunodeficiency, X-linked, with hyper-IgM;17357067;300386;Immunodeficiency, X-linked, with hyper-IgM, 308230 (3);308230
CD44;Blood group, Indian system;17357067;107269;[Blood group, Indian system], 609027 (3);609027
CD46;Hemolytic uremic syndrome, atypical, susceptibility to, 2;17357067;120920;{Hemolytic uremic syndrome, atypical, susceptibility to, 2}, 612922 (3);612922
CD55;Blood group Cromer;17357067;125240;[Blood group Cromer], 613793 (3);613793
CD59;Hemolytic anemia, CD59-mediated, with or without immune-mediated polyneuropathy;17357067;107271;Hemolytic anemia, CD59-mediated, with or without immune-mediated polyneuropathy, 612300 (3);612300
CD79A;Agammaglobulinemia 3;17357067;112205;Agammaglobulinemia 3, 613501 (3);613501
CD79B;Agammaglobulinemia 6;17357067;147245;Agammaglobulinemia 6, 612692 (3);612692
CD81;Immunodeficiency, common variable, 6;17357067;186845;Immunodeficiency, common variable, 6, 613496 (3);613496
CD82;Prostate cancer, susceptibility to;17357067;600623;{Prostate cancer, susceptibility to}, 176807 (2);176807
CD8A;CD8 deficiency, familial;17357067;186910;CD8 deficiency, familial, 608957 (3);608957
CD96;C syndrome;17357067;606037;C syndrome, 211750 (3);211750
CDA;Craniodiaphyseal dysplasia, autosomal dominant;17357067;605740;Craniodiaphyseal dysplasia, autosomal dominant, 122860 (3);122860
CDA;Sclerosteosis 1;17357067;605740;Sclerosteosis 1, 269500 (3);269500
CDA;Van Buchem disease;17357067;605740;Van Buchem disease, 239100 (3);239100
CDAN1;Dyserythropoietic anemia, congenital, type Ia;17357067;607465;Dyserythropoietic anemia, congenital, type Ia, 224120 (3);224120
CDC6;Meier-Gorlin syndrome 5;17357067;602627;Meier-Gorlin syndrome 5, 613805 (3);613805
CDC73;Hyperparathyroidism, familial primary;17357067;607393;Hyperparathyroidism, familial primary, 145000 (3);145000
CDC73;Hyperparathyroidism-jaw tumor syndrome;17357067;607393;Hyperparathyroidism-jaw tumor syndrome, 145001 (3);145001
CDC73;Parathyroid adenoma with cystic changes;17357067;607393;Parathyroid adenoma with cystic changes, 145001 (3);145001
CDC73;Parathyroid carcinoma;17357067;607393;Parathyroid carcinoma, 608266 (3);608266
CDH1;Breast cancer, lobular;17357067;192090;{Breast cancer, lobular}, 114480 (3);114480
CDH1;Endometrial carcinoma, somatic;17357067;192090;Endometrial carcinoma, somatic, 608089 (3);608089
CDH1;Gastric cancer, familial diffuse, with or without cleft lip and/or palate;17357067;192090;Gastric cancer, familial diffuse, with or without cleft lip and/or palate, 137215 (3);137215
CDH1;Ovarian carcinoma, somatic;17357067;192090;Ovarian carcinoma, somatic, 167000 (3);167000
CDH1;Prostate cancer, susceptibility to;17357067;192090;{Prostate cancer, susceptibility to}, 176807 (3);176807
CDH15;Mental retardation, autosomal dominant 3;17357067;114019;Mental retardation, autosomal dominant 3, 612580 (3);612580
CDH19;Van Maldergem syndrome 1;17357067;603057;Van Maldergem syndrome 1, 601390 (3);601390
CDH23;Deafness, autosomal recessive 12;17357067;605516;Deafness, autosomal recessive 12, 601386 (3);601386
CDH23;Usher syndrome, type 1D;17357067;605516;Usher syndrome, type 1D, 601067 (3);601067
CDH23;Usher syndrome, type 1D/F digenic;17357067;605516;Usher syndrome, type 1D/F digenic, 601067 (3);601067
CDH3;Ectodermal dysplasia, ectrodactyly, and macular dystrophy;17357067;114021;Ectodermal dysplasia, ectrodactyly, and macular dystrophy, 225280 (3);225280
CDH3;Hypotrichosis, congenital, with juvenile macular dystrophy;17357067;114021;Hypotrichosis, congenital, with juvenile macular dystrophy, 601553 (3);601553
CDH3;Mental retardation, autosomal dominant 3;17357067;114019;Mental retardation, autosomal dominant 3, 612580 (3);612580
CDHR1;Cone-rod dystrophy 15;17357067;609502;Cone-rod dystrophy 15, 613660 (3);613660
CDHR1;Retinitis pigmentosa 65;17357067;609502;Retinitis pigmentosa 65, 613660 (3);613660
CDK13;Corneal endothelial dystrophy 1, autosomal dominant;17357067;121700;Corneal endothelial dystrophy 1, autosomal dominant (2);0
CDK4;Melanoma, cutaneous malignant, 3;17357067;123829;{Melanoma, cutaneous malignant, 3}, 609048 (3);609048
CDK5RAP2;Microcephaly 3, primary, autosomal recessive;17357067;608201;Microcephaly 3, primary, autosomal recessive, 604804 (3);604804
CDKAL1;Diabetes mellitus, noninsulin-dependent, susceptibility to;17357067;611259;{Diabetes mellitus, noninsulin-dependent, susceptibility to}, 125853 (3);125853
CDKL5;Epileptic encephalopathy, early infantile, 2;17357067;300203;Epileptic encephalopathy, early infantile, 2, 300672 (3);300672
CDKN1B;Multiple endocrine neoplasia, type IV;17357067;600778;Multiple endocrine neoplasia, type IV, 610755 (3);610755
CDKN1C;Beckwith-Wiedemann syndrome;17357067;103280;Beckwith-Wiedemann syndrome, 130650 (3);130650
CDKN1C;IMAGE syndrome;17357067;600856;IMAGE syndrome, 614732 (3);614732
CDKN1C;Silver-Russell syndrome;17357067;103280;Silver-Russell syndrome, 180860 (3);180860
CDKN1C;Wilms tumor 2;17357067;103280;Wilms tumor 2, 194071 (3);194071
CDKN2A;Melanoma and neural system tumor syndrome;17357067;600160;Melanoma and neural system tumor syndrome, 155755 (3);155755
CDKN2A;Melanoma, cutaneous malignant, 1;17357067;155600;{Melanoma, cutaneous malignant, 1} (2);0
CDKN2A;Melanoma, cutaneous malignant, 2;17357067;600160;{Melanoma, cutaneous malignant, 2}, 155601 (3);155601
CDKN2A;Orolaryngeal cancer, multiple;17357067;600160;Orolaryngeal cancer, multiple, (3);0
CDKN2A;Pancreatic cancer/melanoma syndrome;17357067;600160;Pancreatic cancer/melanoma syndrome, 606719 (3);606719
CDON;Holoprosencephaly 11;17357067;608707;Holoprosencephaly 11, 614226 (3);614226
CDS1;Breast and colorectal cancer, susceptibility to;17357067;604373;{Breast and colorectal cancer, susceptibility to} (3);0
CDS1;Breast cancer, susceptibility to;17357067;604373;{Breast cancer, susceptibility to}, 114480 (3);114480
CDS1;Li-Fraumeni syndrome;17357067;604373;Li-Fraumeni syndrome, 609265 (3);609265
CDS1;Osteosarcoma, somatic;17357067;604373;Osteosarcoma, somatic, 259500 (3);259500
CDS1;Prostate cancer, familial, susceptibility to;17357067;604373;{Prostate cancer, familial, susceptibility to}, 176807 (3);176807
CDSN;Hypotrichosis 2;17357067;602593;Hypotrichosis 2, 146520 (3);146520
CDSN;Peeling skin syndrome 1;17357067;602593;Peeling skin syndrome 1, 270300 (3);270300
CDT1;Meier-Gorlin syndrome 4;17357067;605525;Meier-Gorlin syndrome 4, 613804 (3);613804
CEBPA;Leukemia, acute myeloid, somatic;17357067;116897;Leukemia, acute myeloid, somatic, 601626 (3);601626
CEBPD;Cardiomyopathy, hypertrophic, 12;17357067;600824;Cardiomyopathy, hypertrophic, 12, 612124 (3);612124
CEBPE;Specific granule deficiency;17357067;600749;Specific granule deficiency, 245480 (3);245480
CECR;Cat eye syndrome;17357067;115470;Cat eye syndrome (4);0
CECR1;Polyarteritis nodosa, childhood-onset;17357067;607575;Polyarteritis nodosa, childhood-onset, 615688 (3);615688
CEL;Maturity-onset diabetes of the young, type VIII;17357067;114840;Maturity-onset diabetes of the young, type VIII, 609812 (3);609812
CELP;Maturity-onset diabetes of the young, type VIII;17357067;114840;Maturity-onset diabetes of the young, type VIII, 609812 (3);609812
CENPF;Ciliary dyskinesia, primary, 31;17357067;600236;Ciliary dyskinesia, primary, 31, 616369 (3);616369
CENPJ;Microcephaly 6, primary, autosomal recessive;17357067;609279;Microcephaly 6, primary, autosomal recessive, 608393 (3);608393
CENPJ;Seckel syndrome 4;17357067;609279;Seckel syndrome 4, 613676 (3);613676
CEP120;Short-rib thoracic dysplasia 13 with or without polydactyly;17357067;613446;Short-rib thoracic dysplasia 13 with or without polydactyly, 616300 (3);616300
CEP152;Microcephaly 4, primary, autosomal recessive;17357067;609173;Microcephaly 4, primary, autosomal recessive, 604321 (3);604321
CEP152;Microcephaly 9, primary, autosomal recessive;17357067;613529;Microcephaly 9, primary, autosomal recessive, 614852 (3);614852
CEP152;Seckel syndrome 5;17357067;613529;Seckel syndrome 5, 613823 (3);613823
CEP164;Nephronophthisis 15;17357067;614848;Nephronophthisis 15, 614845 (3);614845
CEP19;Morbid obesity and spermatogenic failure;17357067;615586;Morbid obesity and spermatogenic failure, 615703 (3);615703
CEP290;Joubert syndrome 5;17357067;610142;Joubert syndrome 5, 610188 (3);610188
CEP290;Leber congenital amaurosis 10;17357067;610142;Leber congenital amaurosis 10, 611755 (3);611755
CEP290;Meckel syndrome 4;17357067;610142;Meckel syndrome 4, 611134 (3);611134
CEP290;Senior-Loken syndrome 6;17357067;610142;Senior-Loken syndrome 6, 610189 (3);610189
CEP41;Joubert syndrome 15;17357067;610523;Joubert syndrome 15, 614464 (3);614464
CEP57;Mosaic variegated aneuploidy syndrome 2;17357067;607951;Mosaic variegated aneuploidy syndrome 2, 614114 (3);614114
CEP83;Nephronophthisis 18;17357067;615847;Nephronophthisis 18, 615862 (3);615862
CERKL;Retinitis pigmentosa 26;17357067;608381;Retinitis pigmentosa 26, 608380 (3);608380
CERS3;Ichthyosis, congenital, autosomal recessive 9;17357067;615276;Ichthyosis, congenital, autosomal recessive 9, 615023 (3);615023
CES1;Carboxylesterase 1 deficiency;17357067;114835;Carboxylesterase 1 deficiency (3);0
CETP;High density lipoprotein cholesterol level QTL 10;17357067;118470;[High density lipoprotein cholesterol level QTL 10], 143470 (3);143470
CETP;Hyperalphalipoproteinemia;17357067;118470;Hyperalphalipoproteinemia, 143470 (3);143470
CFAP53;Heterotaxy, visceral, 6, autosomal recessive;17357067;614759;Heterotaxy, visceral, 6, autosomal recessive, 614779 (3);614779
CFB;Hemolytic uremic syndrome, atypical, susceptibility to, 4;17357067;138470;{Hemolytic uremic syndrome, atypical, susceptibility to, 4}, 612924 (3);612924
CFB;Macular degeneration, age-related, 14, reduced risk of;17357067;138470;{Macular degeneration, age-related, 14, reduced risk of}, 615489 (3);615489
CFC1;Double-outlet right ventricle;17357067;605194;Double-outlet right ventricle, 217095 (3);217095
CFC1;Heterotaxy, visceral, 2, autosomal;17357067;605194;Heterotaxy, visceral, 2, autosomal, 605376 (3);605376
CFC1;Transposition of the great arteries, dextro-looped 2;17357067;605194;Transposition of the great arteries, dextro-looped 2, 613853 (3);613853
CFD;Complement factor D deficiency;17357067;134350;Complement factor D deficiency, 613912 (3);613912
CFD;Properdin deficiency, X-linked;17357067;300383;Properdin deficiency, X-linked, 312060 (3);312060
CFH;Basal laminar drusen;17357067;134370;Basal laminar drusen, 126700 (3);126700
CFH;Complement factor H deficiency;17357067;134370;Complement factor H deficiency, 609814 (3);609814
CFH;Hemolytic uremic syndrome, atypical, susceptibility to, 1;17357067;134370;{Hemolytic uremic syndrome, atypical, susceptibility to, 1}, 235400 (3);235400
CFH;Macular degeneration, age-related, 4;17357067;134370;{Macular degeneration, age-related, 4}, 610698 (3);610698
CFHR1;Hemolytic uremic syndrome, atypical, susceptibility to;17357067;134371;{Hemolytic uremic syndrome, atypical, susceptibility to}, 235400 (3);235400
CFHR1;Macular degeneration, age-related, reduced risk of;17357067;134371;{Macular degeneration, age-related, reduced risk of}, 603075 (3);603075
CFHR3;Hemolytic uremic syndrome, atypical, susceptibility to;17357067;605336;{Hemolytic uremic syndrome, atypical, susceptibility to}, 235400 (3);235400
CFHR3;Macular degeneration, age-related, reduced risk of;17357067;605336;{Macular degeneration, age-related, reduced risk of}, 603075 (3);603075
CFHR5;Nephropathy due to CFHR5 deficiency;17357067;608593;Nephropathy due to CFHR5 deficiency, 614809 (3);614809
CFI;Complement factor I deficiency;17357067;217030;Complement factor I deficiency, 610984 (3);610984
CFI;Hemolytic uremic syndrome, atypical, susceptibility to, 3;17357067;217030;{Hemolytic uremic syndrome, atypical, susceptibility to, 3}, 612923 (3);612923
CFI;Macular degeneration, age-related, 13, susceptibility to;17357067;217030;{Macular degeneration, age-related, 13, susceptibility to}, 615439 (3);615439
CFL2;Nemaline myopathy 7, autosomal recessive;17357067;601443;Nemaline myopathy 7, autosomal recessive, 610687 (3);610687
CFP;Properdin deficiency, X-linked;17357067;300383;Properdin deficiency, X-linked, 312060 (3);312060
CFTR;Bronchiectasis with or without elevated sweat chloride 1, modifier of;17357067;602421;{Bronchiectasis with or without elevated sweat chloride 1, modifier of}, 211400 (3);211400
CFTR;Congenital bilateral absence of vas deferens;17357067;602421;Congenital bilateral absence of vas deferens, 277180 (3);277180
CFTR;Cystic fibrosis;17357067;602421;Cystic fibrosis, 219700 (3);219700
CFTR;Hypertrypsinemia, neonatal;17357067;602421;{Hypertrypsinemia, neonatal} (3);0
CFTR;Pancreatitis, idiopathic;17357067;602421;{Pancreatitis, idiopathic}, 167800 (3);167800
CFTR;Sweat chloride elevation without CF;17357067;602421;Sweat chloride elevation without CF (3);0
CHAT;Myasthenic syndrome, congenital, 6, presynaptic;17357067;118490;Myasthenic syndrome, congenital, 6, presynaptic, 254210 (3);254210
CHCHD10;Frontotemporal dementia and/or amyotrophic lateral sclerosis 2;17357067;615903;Frontotemporal dementia and/or amyotrophic lateral sclerosis 2, 615911 (3);615911
CHCHD10;Spinal muscular atrophy, Jokela type;17357067;615903;Spinal muscular atrophy, Jokela type, 615048 (3);615048
CHD2;Epileptic encephalopathy, childhood-onset;17357067;602119;Epileptic encephalopathy, childhood-onset, 615369 (3);615369
CHD7;CHARGE syndrome;17357067;608892;CHARGE syndrome, 214800 (3);214800
CHD7;Hypogonadotropic hypogonadism 5 with or without anosmia;17357067;608892;Hypogonadotropic hypogonadism 5 with or without anosmia, 612370 (3);612370
CHD8;Autism, susceptibility to, 18;17357067;610528;{Autism, susceptibility to, 18}, 615032 (3);615032
CHEK2;Breast and colorectal cancer, susceptibility to;17357067;604373;{Breast and colorectal cancer, susceptibility to} (3);0
CHEK2;Breast cancer, susceptibility to;17357067;604373;{Breast cancer, susceptibility to}, 114480 (3);114480
CHEK2;Li-Fraumeni syndrome;17357067;604373;Li-Fraumeni syndrome, 609265 (3);609265
CHEK2;Osteosarcoma, somatic;17357067;604373;Osteosarcoma, somatic, 259500 (3);259500
CHEK2;Prostate cancer, familial, susceptibility to;17357067;604373;{Prostate cancer, familial, susceptibility to}, 176807 (3);176807
CHI3L1;Asthma-related traits, susceptibility to, 7;17357067;601525;{Asthma-related traits, susceptibility to, 7}, 611960 (3);611960
CHI3L1;Schizophrenia, susceptibility to;17357067;601525;{Schizophrenia, susceptibility to}, 181500 (3);181500
CHIC2;Leukemia, acute myeloid;17357067;604332;{Leukemia, acute myeloid}, 601626 (3);601626
CHIT1;Chitotriosidase deficiency;17357067;600031;[Chitotriosidase deficiency], 614122 (3);614122
CHKB;Muscular dystrophy, congenital, megaconial type;17357067;612395;Muscular dystrophy, congenital, megaconial type, 602541 (3);602541
CHM;Charcot-Marie-Tooth disease, dominant intermediate D;17357067;159440;Charcot-Marie-Tooth disease, dominant intermediate D, 607791 (3);607791
CHM;Charcot-Marie-Tooth disease, type 1B;17357067;159440;Charcot-Marie-Tooth disease, type 1B, 118200 (3);118200
CHM;Charcot-Marie-Tooth disease, type 2I;17357067;159440;Charcot-Marie-Tooth disease, type 2I, 607677 (3);607677
CHM;Charcot-Marie-Tooth disease, type 2J;17357067;159440;Charcot-Marie-Tooth disease, type 2J, 607736 (3);607736
CHM;Choroideremia;17357067;300390;Choroideremia, 303100 (3);303100
CHM;Dejerine-Sottas disease;17357067;159440;Dejerine-Sottas disease, 145900 (3);145900
CHM;Neuropathy, congenital hypomyelinating;17357067;159440;Neuropathy, congenital hypomyelinating, 605253 (3);605253
CHM;Roussy-Levy syndrome;17357067;159440;Roussy-Levy syndrome, 180800 (3);180800
CHMP1A;Pontocerebellar hypoplasia, type 8;17357067;164010;Pontocerebellar hypoplasia, type 8, 614961 (3);614961
CHMP2B;Amyotrophic lateral sclerosis 17;17357067;609512;Amyotrophic lateral sclerosis 17, 614696 (3);614696
CHMP2B;Dementia, familial, nonspecific;17357067;609512;Dementia, familial, nonspecific, 600795 (3);600795
CHMP4B;Cataract 31, multiple types;17357067;610897;Cataract 31, multiple types, 605387 (3);605387
CHN1;Duane retraction syndrome 2;17357067;118423;Duane retraction syndrome 2, 604356 (3);604356
CHRDL1;Hodgkin lymphoma, susceptibility to;17357067;613169;{Hodgkin lymphoma, susceptibility to}, 246000 (3);246000
CHRDL1;Megalocornea 1, X-linked;17357067;300350;Megalocornea 1, X-linked 309300 (3);309300
CHRNA1;Multiple pterygium syndrome, lethal type;17357067;100690;Multiple pterygium syndrome, lethal type, 253290 (3);253290
CHRNA1;Myasthenic syndrome, congenital, 1A, slow-channel;17357067;100690;Myasthenic syndrome, congenital, 1A, slow-channel, 601462 (3);601462
CHRNA1;Myasthenic syndrome, congenital, 1B, fast-channel;17357067;100690;Myasthenic syndrome, congenital, 1B, fast-channel, 608930 (3);608930
CHRNA2;Epilepsy, nocturnal frontal lobe, type 4;17357067;118502;Epilepsy, nocturnal frontal lobe, type 4, 610353 (3);610353
CHRNA3;Lung cancer susceptibility 2;17357067;118503;{Lung cancer susceptibility 2}, 612052 (3);612052
CHRNA4;Epilepsy, nocturnal frontal lobe, 1;17357067;118504;Epilepsy, nocturnal frontal lobe, 1, 600513 (3);600513
CHRNA4;Nicotine addiction, susceptibility to;17357067;118504;{Nicotine addiction, susceptibility to}, 188890 (3);188890
CHRNA5;Lung cancer susceptibility 2;17357067;118505;{Lung cancer susceptibility 2}, 612052 (3);612052
CHRNA5;Nicotine dependence, susceptibility to;17357067;118505;{Nicotine dependence, susceptibility to}, 612052 (3);612052
CHRNA7;Schizophrenia, neurophysiologic defect in;17357067;118511;Schizophrenia, neurophysiologic defect in (2);0
CHRNB1;Myasthenic syndrome, congenital, 2A, slow-channel;17357067;100710;Myasthenic syndrome, congenital, 2A, slow-channel, 616313 (3);616313
CHRNB2;Epilepsy, nocturnal frontal lobe, 3;17357067;118507;Epilepsy, nocturnal frontal lobe, 3, 605375 (3);605375
CHRND;Multiple pterygium syndrome, lethal type;17357067;100690;Multiple pterygium syndrome, lethal type, 253290 (3);253290
CHRND;Myasthenic syndrome, congenital, 1A, slow-channel;17357067;100690;Myasthenic syndrome, congenital, 1A, slow-channel, 601462 (3);601462
CHRND;Myasthenic syndrome, congenital, 1B, fast-channel;17357067;100690;Myasthenic syndrome, congenital, 1B, fast-channel, 608930 (3);608930
CHRND;Myasthenic syndrome, congenital, 3B, fast-channel;17357067;100720;Myasthenic syndrome, congenital, 3B, fast-channel, 616322 (3);616322
CHRNE;Myasthenic syndrome, congenital, 4A, slow-channel;17357067;100725;Myasthenic syndrome, congenital, 4A, slow-channel, 605809 (3);605809
CHRNE;Myasthenic syndrome, congenital, 4B, fast-channel;17357067;100725;Myasthenic syndrome, congenital, 4B, fast-channel, 616324 (3);616324
CHRNE;Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency;17357067;100725;Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency, 608931 (3);608931
CHRNG;Escobar syndrome;17357067;100730;Escobar syndrome, 265000 (3);265000
CHRNG;Multiple pterygium syndrome, lethal type;17357067;100730;Multiple pterygium syndrome, lethal type, 253290 (3);253290
CHST14;Ehlers-Danlos syndrome, musculocontractural type 1;17357067;608429;Ehlers-Danlos syndrome, musculocontractural type 1, 601776 (3);601776
CHST3;Spondyloepiphyseal dysplasia with congenital joint dislocations;17357067;603799;Spondyloepiphyseal dysplasia with congenital joint dislocations, 143095 (3);143095
CHST6;Macular corneal dystrophy;17357067;605294;Macular corneal dystrophy, 217800 (3);217800
CHSY1;Temtamy preaxial brachydactyly syndrome;17357067;608183;Temtamy preaxial brachydactyly syndrome, 605282 (3);605282
CHUK;Cocoon syndrome;17357067;600664;Cocoon syndrome, 613630 (3);613630
CIB2;Deafness, autosomal recessive 48;17357067;605564;Deafness, autosomal recessive 48, 609439 (3);609439
CIB2;Usher syndrome, type IJ;17357067;605564;Usher syndrome, type IJ, 614869 (3);614869
CIITA;Bare lymphocyte syndrome, type II, complementation group A;17357067;600005;Bare lymphocyte syndrome, type II, complementation group A, 209920 (3);209920
CIITA;Rheumatoid arthritis, susceptibility to;17357067;600005;{Rheumatoid arthritis, susceptibility to}, 180300 (3);180300
CILP;Lumbar disc disease, susceptibility to;17357067;603489;{Lumbar disc disease, susceptibility to}, 603932 (3);603932
CIRH1A;Cirrhosis, North American Indian childhood type;17357067;607456;Cirrhosis, North American Indian childhood type, 604901 (3);604901
CISD2;Wolfram syndrome 2;17357067;611507;Wolfram syndrome 2, 604928 (3);604928
CISH;Bacteremia, susceptibility to;17357067;602441;{Bacteremia, susceptibility to}, 614383 (3);614383
CISH;Malaria, susceptibility to;17357067;602441;{Malaria, susceptibility to}, 611162 (3);611162
CISH;Tuberculosis, susceptibility to;17357067;602441;{Tuberculosis, susceptibility to}, 607948 (3);607948
CITED2;Atrial septal defect 8;17357067;602937;Atrial septal defect 8, 614433 (3);614433
CITED2;Ventricular septal defect 2;17357067;602937;Ventricular septal defect 2, 614431 (3);614431
CKAP2L;Filippi syndrome;17357067;616174;Filippi syndrome, 272440 (3);272440
CLC;Cold-induced sweating syndrome 2;17357067;607672;Cold-induced sweating syndrome 2, 610313 (3);610313
CLCF1;Cold-induced sweating syndrome 2;17357067;607672;Cold-induced sweating syndrome 2, 610313 (3);610313
CLCN1;Myotonia congenita, dominant;17357067;118425;Myotonia congenita, dominant, 160800 (3);160800
