## mouse.knockout
## Mouse knockout phenotypes from JAX
## hg19, source=gm.jax created=28JUN2011:04:21:45
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 6228 entries. Columns: 6
#chr	bp1	bp2	geneName	musName	phenotype
chrX	11136239	11683821	ARHGAP6	Arhgap6	"embryogenesis;growth/size;mortality/aging;normal"
chr17	79825597	79829282	ARHGDIA	Arhgdia	"behavior/neurological;endocrine/exocrine gland;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;renal/urinary system;reproductive system"
chr12	15094951	15114662	ARHGDIB	Arhgdib	"endocrine/exocrine gland;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;reproductive system"
chr16	318726	333003	ARHGDIG	Arhgdig	"normal"
chr19	42387228	42434302	ARHGEF1	Arhgef1	"cardiovascular system;hematopoietic system;homeostasis/metabolism;immune system;muscle"
chr11	120207787	120360645	ARHGEF12	Arhgef12	"cardiovascular system;hematopoietic system;immune system;muscle"
chr17	8213559	8225829	ARHGEF15	Arhgef15	"nervous system"
chr2	131594489	131804836	ARHGEF4	Arhgef4	"cardiovascular system;tumorigenesis"
chrX	135747706	135864247	ARHGEF6	Arhgef6	"hematopoietic system;immune system"
chrX	62854847	63005426	ARHGEF9	Arhgef9	"behavior/neurological;nervous system"
chr1	27022524	27108595	ARID1A	Arid1a	"embryogenesis;hematopoietic system;mortality/aging;no phenotypic analysis"
chr19	925781	975939	ARID3A	Arid3a	"cardiovascular system;embryogenesis;growth/size;hematopoietic system;immune system;integument;liver/biliary system;mortality/aging;normal"
chr15	74833518	74890472	ARID3B	Arid3b	"cardiovascular system;cellular;craniofacial;embryogenesis;growth/size;mortality/aging;nervous system;normal"
chr14	58765103	58840605	ARID4A	Arid4a	"behavior/neurological;cardiovascular system;cellular;endocrine/exocrine gland;growth/size;hematopoietic system;immune system;integument;liver/biliary system;mortality/aging;other;renal/urinary system;reproductive system;respiratory system;skeleton;tumorigenesis"
chr1	235294949	235491534	ARID4B	Arid4b	"cardiovascular system;cellular;growth/size;hematopoietic system;immune system;liver/biliary system;mortality/aging;renal/urinary system;reproductive system;respiratory system;skeleton;tumorigenesis"
chr10	63661059	63856703	ARID5B	Arid5b	"adipose tissue;behavior/neurological;cellular;craniofacial;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;muscle;renal/urinary system;reproductive system;skeleton"
chr3	93698983	93774512	ARL13B	Arl13b	"embryogenesis;mortality/aging;nervous system"
chr10	104433488	104474164	ARL3	Arl3	"endocrine/exocrine gland;growth/size;immune system;liver/biliary system;mortality/aging;nervous system;renal/urinary system;vision/eye"
chr7	12726481	12730559	ARL4A	Arl4a	"adipose tissue;endocrine/exocrine gland;homeostasis/metabolism;reproductive system"
chr3	97483365	97519953	ARL6	Arl6	"growth/size;nervous system;vision/eye"
chr1	150782181	150849244	ARNT	Arnt	"cardiovascular system;cellular;craniofacial;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;nervous system;normal;renal/urinary system;reproductive system;tumorigenesis"
chr15	80696692	80890278	ARNT2	Arnt2	"cellular;endocrine/exocrine gland;homeostasis/metabolism;mortality/aging;nervous system"
chr11	13298199	13408813	ARNTL	Arntl	"adipose tissue;behavior/neurological;cardiovascular system;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;muscle;renal/urinary system;reproductive system;respiratory system;skeleton;vision/eye"
chr12	110872630	110888227	ARPC3	Arpc3	"cellular;embryogenesis;growth/size;mortality/aging"
chr3	35680437	35835988	ARPP21	Arpp21	"nervous system"
chrX	69488155	69501690	ARR3	Arr3	"vision/eye"
chr11	74975226	75062873	ARRB1	Arrb1	"behavior/neurological;cardiovascular system;growth/size;homeostasis/metabolism;mortality/aging;muscle;respiratory system"
chr17	4613784	4624794	ARRB2	Arrb2	"behavior/neurological;growth/size;homeostasis/metabolism;immune system;integument;mortality/aging;nervous system;respiratory system"
chr22	51061182	51066607	ARSA	Arsa	"behavior/neurological;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;nervous system"
chr5	78073032	78281910	ARSB	Arsb	"adipose tissue;behavior/neurological;cardiovascular system;cellular;craniofacial;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;limbs/digits/tail;muscle;nervous system;renal/urinary system;reproductive system;respiratory system;skeleton;vision/eye"
chr5	149675906	149718870	ARSI	Arsi	"hematopoietic system"
chr4	76932337	77033955	ART3	Art3	"no phenotypic analysis"
chr1	44398992	44402913	ARTN	Artn	"nervous system;vision/eye"
chr22	19957419	20004331	ARVCF	Arvcf	"no phenotypic analysis"
chrX	25021811	25034065	ARX	Arx	"behavior/neurological;endocrine/exocrine gland;growth/size;homeostasis/metabolism;integument;mortality/aging;muscle;nervous system;normal;reproductive system"
chr10	104629273	104661656	AS3MT	As3mt	"homeostasis/metabolism;liver/biliary system"
chr8	17913934	17942494	ASAH1	Asah1	"homeostasis/metabolism;liver/biliary system;mortality/aging"
chr10	51942538	52008370	ASAH2	Asah2	"homeostasis/metabolism"
chr2	239335383	239360891	ASB1	Asb1	"endocrine/exocrine gland;hematopoietic system;immune system;integument;reproductive system"
chr12	103351464	103354294	ASCL1	Ascl1	"behavior/neurological;craniofacial;endocrine/exocrine gland;growth/size;integument;mortality/aging;nervous system;no phenotypic analysis;pigmentation;respiratory system;taste/olfaction;vision/eye"
chr11	2289725	2292182	ASCL2	Ascl2	"cellular;digestive/alimentary;embryogenesis;endocrine/exocrine gland;mortality/aging;no phenotypic analysis;normal"
chr11	8959119	8964580	ASCL3	Ascl3	"normal"
chr19	14230321	14247768	ASF1B	Asf1b	"no phenotypic analysis"
chr17	7076750	7082883	ASGR1	Asgr1	"hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging"
chr17	7004641	7019019	ASGR2	Asgr2	"hematopoietic system;homeostasis/metabolism;immune system;mortality/aging"
chr8	37962760	38001594	ASH2L	Ash2l	"cellular;mortality/aging"
chr20	32782375	32857150	ASIP	a	"adipose tissue;behavior/neurological;cellular;craniofacial;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;homeostasis/metabolism;immune system;integument;limbs/digits/tail;liver/biliary system;mortality/aging;other;pigmentation;renal/urinary system;skeleton;tumorigenesis;vision/eye"
chr7	65540785	65558545	ASL	Asl	"behavior/neurological;homeostasis/metabolism;mortality/aging"
chr19	12847953	12859137	ASNA1	Asna1	"mortality/aging"
chr17	3375668	3406713	ASPA	Aspa	"adipose tissue;behavior/neurological;craniofacial;growth/size;integument;mortality/aging;nervous system;skeleton;vision/eye"
chr8	62413116	62627155	ASPH	Asph	"cardiovascular system;craniofacial;digestive/alimentary;homeostasis/metabolism;limbs/digits/tail;mortality/aging;muscle;reproductive system;tumorigenesis"
chr1	197053258	197115824	ASPM	Aspm	"craniofacial;endocrine/exocrine gland;growth/size;nervous system;reproductive system"
chr2	70187226	70189397	ASPRV1	Asprv1	"integument"
chr9	133320316	133376661	ASS1	Ass1	"behavior/neurological;cellular;growth/size;hearing/vestibular/ear;homeostasis/metabolism;integument;mortality/aging;nervous system;vision/eye"
chr1	176826438	177134109	ASTN1	Astn1	"behavior/neurological;nervous system"
chr20	30946155	31027122	ASXL1	Asxl1	"hematopoietic system;immune system"
chr2	25956622	26101385	ASXL2	Asxl2	"behavior/neurological;cardiovascular system;growth/size;mortality/aging;skeleton"
chr7	117003276	117068177	ASZ1	Asz1	"cellular;endocrine/exocrine gland;reproductive system"
chr19	3879862	3928077	ATCAY	Atcay	"behavior/neurological;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;muscle;nervous system;reproductive system"
chr10	123499939	123688316	ATE1	Ate1	"adipose tissue;behavior/neurological;cardiovascular system;cellular;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;homeostasis/metabolism;integument;mortality/aging;muscle;nervous system;pigmentation;renal/urinary system;reproductive system;skeleton"
chr12	51157493	51214905	ATF1	Atf1	"cellular;embryogenesis;mortality/aging;nervous system;normal"
chr2	175936978	176033110	ATF2	Atf2	"adipose tissue;behavior/neurological;cardiovascular system;cellular;embryogenesis;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;liver/biliary system;mortality/aging;nervous system;normal;respiratory system;skeleton;tumorigenesis;vision/eye"
chr1	212738676	212794119	ATF3	Atf3	"endocrine/exocrine gland;immune system;respiratory system"
chr22	39915700	39918691	ATF4	Atf4	"adipose tissue;cellular;craniofacial;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;integument;limbs/digits/tail;liver/biliary system;mortality/aging;reproductive system;skeleton;vision/eye"
chr1	161736084	161933860	ATF6	Atf6	"cellular;homeostasis/metabolism;liver/biliary system;mortality/aging;no phenotypic analysis"
chr6	32065953	32096030	ATF6B	Atf6b	"cellular;mortality/aging"
chr12	53901640	54020199	ATF7	Atf7	"behavior/neurological;cardiovascular system;cellular;embryogenesis;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;liver/biliary system;mortality/aging;nervous system;normal"
chr2	234118697	234204320	ATG16L1	Atg16l1	"cellular;digestive/alimentary;endocrine/exocrine gland;immune system;mortality/aging"
chr2	242576628	242613272	ATG4B	Atg4b	"behavior/neurological;cellular;hearing/vestibular/ear;homeostasis/metabolism;nervous system"
chr1	63249806	63331184	ATG4C	Atg4c	"behavior/neurological;cellular;homeostasis/metabolism;tumorigenesis"
chr6	106632351	106773666	ATG5	Atg5	"behavior/neurological;cardiovascular system;cellular;digestive/alimentary;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;muscle;nervous system;normal;respiratory system;vision/eye"
chr3	11313995	11599139	ATG7	Atg7	"behavior/neurological;cellular;growth/size;homeostasis/metabolism;limbs/digits/tail;liver/biliary system;mortality/aging;nervous system"
chr2	220074494	220094439	ATG9A	Atg9a	"cellular;immune system;mortality/aging"
chr11	108093211	108239829	ATM	Atm	"behavior/neurological;cellular;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;immune system;mortality/aging;nervous system;no phenotypic analysis;reproductive system;tumorigenesis"
chr16	81069452	81080963	ATMIN	Atmin	"behavior/neurological;cardiovascular system;cellular;craniofacial;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;nervous system;respiratory system"
chr12	7033626	7051484	ATN1	Atn1	"behavior/neurological;endocrine/exocrine gland;growth/size;mortality/aging;nervous system;no phenotypic analysis;normal;reproductive system"
chr4	94750042	94751221	ATOH1	Atoh1	"digestive/alimentary;endocrine/exocrine gland;hearing/vestibular/ear;homeostasis/metabolism;mortality/aging;nervous system;no phenotypic analysis;normal;respiratory system"
chr10	69990386	69991871	ATOH7	Atoh7	"behavior/neurological;cardiovascular system;cellular;nervous system;normal;reproductive system;vision/eye"
chr2	85978467	86015189	ATOH8	Atoh8	"mortality/aging"
chr5	151121877	151152093	ATOX1	Atox1	"behavior/neurological;cardiovascular system;growth/size;homeostasis/metabolism;integument;liver/biliary system;mortality/aging;nervous system;other;pigmentation;respiratory system;vision/eye"
chrX	138808505	139027435	ATP11C	Atp11c	"normal"
chr13	25254549	25285921	ATP12A	Atp12a	"digestive/alimentary;growth/size;homeostasis/metabolism;renal/urinary system"
chr1	116915290	116952883	ATP1A1	Atp1a1	"behavior/neurological;cardiovascular system;homeostasis/metabolism;mortality/aging;muscle"
chr1	160085549	160113381	ATP1A2	Atp1a2	"behavior/neurological;cardiovascular system;embryogenesis;homeostasis/metabolism;integument;mortality/aging;muscle;nervous system;normal;respiratory system"
chr19	42470734	42501649	ATP1A3	Atp1a3	"behavior/neurological;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;nervous system"
chr1	160121360	160156767	ATP1A4	Atp1a4	"reproductive system"
chr1	169074935	169101960	ATP1B1	Atp1b1	"cardiovascular system;homeostasis/metabolism;mortality/aging;muscle;normal"
chr17	7549945	7561086	ATP1B2	Atp1b2	"behavior/neurological;mortality/aging;nervous system;vision/eye"
chr16	28889726	28915830	ATP2A1	Atp2a1	"homeostasis/metabolism;mortality/aging;muscle;respiratory system"
chr12	110718561	110788898	ATP2A2	Atp2a2	"behavior/neurological;cardiovascular system;digestive/alimentary;growth/size;homeostasis/metabolism;integument;mortality/aging;muscle;renal/urinary system;reproductive system;respiratory system;tumorigenesis"
chr17	3827169	3867736	ATP2A3	Atp2a3	"cardiovascular system;muscle"
chr12	89981828	90103077	ATP2B1	Atp2b1	"cardiovascular system;mortality/aging;muscle"
chr3	10365707	10749716	ATP2B2	Atp2b2	"behavior/neurological;cellular;growth/size;hearing/vestibular/ear;homeostasis/metabolism;nervous system;reproductive system"
chr1	203595689	203713209	ATP2B4	Atp2b4	"behavior/neurological;cardiovascular system;immune system;muscle;reproductive system"
chr3	130569439	130735556	ATP2C1	Atp2c1	"cellular;embryogenesis;growth/size;integument;mortality/aging;nervous system;tumorigenesis"
chr19	36040945	36054560	ATP4A	Atp4a	"digestive/alimentary;homeostasis/metabolism"
chr13	114303119	114312501	ATP4B	Atp4b	"digestive/alimentary;homeostasis/metabolism"
chr18	43664110	43684300	ATP5A1	Atp5a1	"tumorigenesis"
chrX	153656978	153664862	ATP6AP1	Atp6ap1	"mortality/aging"
chrX	40440146	40465889	ATP6AP2	Atp6ap2	"cardiovascular system;mortality/aging;muscle"
chr16	2563871	2570219	ATP6V0C	Atp6v0c	"embryogenesis;mortality/aging"
chr16	67471917	67515140	ATP6V0D1	Atp6v0d1	"mortality/aging"
chr8	86999552	87166457	ATP6V0D2	Atp6v0d2	"hematopoietic system;immune system;skeleton"
chr2	71163012	71192536	ATP6V1B1	Atp6v1b1	"hearing/vestibular/ear"
chrX	77166194	77305892	ATP7A	Atp7a	"behavior/neurological;cardiovascular system;cellular;embryogenesis;growth/size;homeostasis/metabolism;immune system;integument;limbs/digits/tail;liver/biliary system;mortality/aging;muscle;nervous system;normal;pigmentation;renal/urinary system;reproductive system;respiratory system;skeleton"
chr13	52506809	52585630	ATP7B	Atp7b	"behavior/neurological;cellular;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;muscle;nervous system;other;pigmentation;reproductive system"
chr4	42410390	42659122	ATP8A1	Atp8a1	"normal"
chr18	55313658	55470333	ATP8B1	Atp8b1	"growth/size;hearing/vestibular/ear;homeostasis/metabolism;liver/biliary system;nervous system"
chr19	1782074	1812275	ATP8B3	Atp8b3	"reproductive system"
chr20	50213053	50385173	ATP9A	Atp9a	"no phenotypic analysis"
chr3	142168077	142297668	ATR	Atr	"adipose tissue;behavior/neurological;cardiovascular system;cellular;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;nervous system;normal;pigmentation;renal/urinary system;reproductive system;respiratory system;skeleton;tumorigenesis"
chr20	3451687	3631769	ATRN	Atrn	"adipose tissue;behavior/neurological;cardiovascular system;growth/size;homeostasis/metabolism;integument;mortality/aging;muscle;nervous system;pigmentation"
chr10	116853124	117708503	ATRNL1	Atrnl1	"cardiovascular system;integument;muscle;nervous system"
chrX	76760356	77041702	ATRX	Atrx	"behavior/neurological;cardiovascular system;cellular;embryogenesis;growth/size;mortality/aging;nervous system;reproductive system;vision/eye"
chr6	16299343	16761722	ATXN1	Atxn1	"behavior/neurological;growth/size;mortality/aging;muscle;nervous system;skeleton"
chr16	71879894	71919171	ATXN1L	Atxn1l	"behavior/neurological;mortality/aging;nervous system"
chr12	111890018	112037480	ATXN2	Atxn2	"adipose tissue;behavior/neurological;endocrine/exocrine gland;growth/size;homeostasis/metabolism;liver/biliary system;mortality/aging;nervous system;reproductive system"
chr14	92524896	92572965	ATXN3	Atxn3	"behavior/neurological"
chr3	63850233	63989138	ATXN7	Atxn7	"behavior/neurological;mortality/aging;muscle;nervous system;reproductive system;skeleton;vision/eye"
chr20	54944445	54967393	AURKA	Aurka	"cellular;embryogenesis;mortality/aging;tumorigenesis"
chr19	57742377	57746916	AURKC	Aurkc	"reproductive system"
chr12	58191159	58212487	AVIL	Avil	"behavior/neurological;limbs/digits/tail;mortality/aging;nervous system;no phenotypic analysis"
chr20	3063202	3065370	AVP	Avp	"behavior/neurological;homeostasis/metabolism;mortality/aging;nervous system;normal;renal/urinary system"
chr12	63539014	63544722	AVPR1A	Avpr1a	"behavior/neurological;cardiovascular system;endocrine/exocrine gland;hematopoietic system;homeostasis/metabolism;immune system;muscle;nervous system"
chr1	206223976	206231639	AVPR1B	Avpr1b	"behavior/neurological;endocrine/exocrine gland;homeostasis/metabolism;nervous system"
chrX	153167985	153172620	AVPR2	Avpr2	"behavior/neurological;growth/size;hematopoietic system;homeostasis/metabolism;integument;mortality/aging;renal/urinary system"
chr16	337440	402673	AXIN1	Axin1	"behavior/neurological;cardiovascular system;cellular;craniofacial;digestive/alimentary;embryogenesis;growth/size;hearing/vestibular/ear;limbs/digits/tail;mortality/aging;nervous system;normal;renal/urinary system;reproductive system;respiratory system;skeleton"
chr17	63524681	63557765	AXIN2	Axin2	"craniofacial;endocrine/exocrine gland;reproductive system;skeleton;vision/eye"
chr19	41725108	41767671	AXL	Axl	"cardiovascular system;cellular;endocrine/exocrine gland;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;nervous system;normal;reproductive system;skeleton;vision/eye"
chr8	103838585	103906092	AZIN1	Azin1	"growth/size;liver/biliary system;mortality/aging"
chr15	45003675	45011075	B2M	B2m	"cardiovascular system;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;reproductive system;tumorigenesis"
chr3	160801671	160823172	B3GALNT1	B3galnt1	"embryogenesis;mortality/aging;normal;reproductive system"
chr1	193148175	193155784	B3GALT2	B3galt2	"behavior/neurological;growth/size;hearing/vestibular/ear"
chr21	40928369	41045064	B3GALT5	B3galt5	"normal"
chr11	134248398	134281812	B3GAT1	B3gat1	"behavior/neurological;nervous system"
chr11	66112843	66115163	B3GNT1	B3gnt1	"immune system"
chr2	62423248	62451866	B3GNT2	B3gnt2	"behavior/neurological;craniofacial;hematopoietic system;immune system;nervous system;respiratory system;taste/olfaction"
chr19	17905637	17923891	B3GNT3	B3gnt3	"behavior/neurological;integument"
chr3	182971032	183016292	B3GNT5	B3gnt5	"growth/size;hematopoietic system;immune system;mortality/aging;no phenotypic analysis;reproductive system"
chr12	58017193	58027138	B4GALNT1	B4galnt1	"behavior/neurological;endocrine/exocrine gland;hematopoietic system;immune system;mortality/aging;nervous system;renal/urinary system;reproductive system;respiratory system"
chr17	47209822	47247351	B4GALNT2	B4galnt2	"digestive/alimentary;no phenotypic analysis"
chr9	33104080	33167354	B4GALT1	B4galt1	"adipose tissue;cardiovascular system;cellular;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;nervous system;reproductive system;respiratory system"
chr1	44444615	44456840	B4GALT2	B4galt2	"behavior/neurological;nervous system"
chr20	48249482	48330415	B4GALT5	B4galt5	"behavior/neurological;embryogenesis;growth/size;homeostasis/metabolism;mortality/aging"
chr18	29202210	29265799	B4GALT6	B4galt6	"normal"
chr19	41860326	41870078	B9D2	B9d2	"hematopoietic system;immune system"
chr11	117156402	117186975	BACE1	Bace1	"behavior/neurological;cellular;growth/size;integument;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;other"
chr21	42539728	42654445	BACE2	Bace2	"cellular;growth/size;mortality/aging;nervous system"
chr21	30566392	31003071	BACH1	Bach1	"cardiovascular system;homeostasis/metabolism;muscle;normal"
chr6	90636248	91006627	BACH2	Bach2	"hematopoietic system;immune system"
chr11	64037302	64052176	BAD	Bad	"cellular;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;nervous system;reproductive system;tumorigenesis"
chr9	33247818	33264761	BAG1	Bag1	"liver/biliary system;mortality/aging;tumorigenesis"
chr10	121410882	121437331	BAG3	Bag3	"adipose tissue;cardiovascular system;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;muscle;no phenotypic analysis;respiratory system"
chr8	38034051	38070819	BAG4	Bag4	"hematopoietic system;homeostasis/metabolism;immune system;normal"
chr6	31606805	31620482	BAG6	Bag6	"homeostasis/metabolism;mortality/aging;nervous system;renal/urinary system;respiratory system"
chr15	40731920	40760441	BAHD1	Bahd1	"immune system"
chr1	32192718	32230494	BAI2	Bai2	"behavior/neurological"
chr17	79008948	79091232	BAIAP2	Baiap2	"behavior/neurological;mortality/aging;nervous system"
chr6	33540329	33548019	BAK1	Bak1	"behavior/neurological;cellular;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;limbs/digits/tail;mortality/aging;nervous system;normal;renal/urinary system;reproductive system;skeleton"
chr10	28966271	28971868	BAMBI	Bambi	"behavior/neurological;craniofacial;growth/size;integument;limbs/digits/tail;normal;skeleton"
chr4	102332443	102995969	BANK1	Bank1	"hematopoietic system;immune system"
chr2	215590370	215674428	BARD1	Bard1	"cellular;embryogenesis;growth/size;mortality/aging;nervous system;normal;tumorigenesis"
chr9	135457572	135465653	BARHL1	Barhl1	"behavior/neurological;hearing/vestibular/ear;nervous system"
chr1	91177096	91182794	BARHL2	Barhl2	"behavior/neurological;growth/size;mortality/aging;nervous system;vision/eye"
chr9	96713905	96717654	BARX1	Barx1	"digestive/alimentary;mortality/aging"
chr11	129245835	129322171	BARX2	Barx2	"endocrine/exocrine gland;integument;pigmentation;vision/eye"
chr5	17065707	17276943	BASP1	Basp1	"behavior/neurological;growth/size;mortality/aging;nervous system"
chr14	75988768	76013358	BATF	Batf	"hematopoietic system;immune system"
chr1	212859760	212873327	BATF3	Batf3	"hematopoietic system;immune system"
chr19	49458072	49465055	BAX	Bax	"behavior/neurological;cellular;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;limbs/digits/tail;mortality/aging;muscle;nervous system;renal/urinary system;reproductive system;respiratory system;skeleton;vision/eye"
chr7	72854728	72936608	BAZ1B	Baz1b	"cardiovascular system;cellular;craniofacial;embryogenesis;growth/size;homeostasis/metabolism;mortality/aging;muscle;reproductive system;skeleton"
chr19	47724081	47736023	BBC3	Bbc3	"behavior/neurological;cardiovascular system;cellular;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;nervous system"
chr11	66278077	66301098	BBS1	Bbs1	"adipose tissue;behavior/neurological;cardiovascular system;craniofacial;growth/size;hearing/vestibular/ear;homeostasis/metabolism;limbs/digits/tail;mortality/aging;nervous system;renal/urinary system;reproductive system;respiratory system;taste/olfaction;vision/eye"
chr16	56500748	56554195	BBS2	Bbs2	"adipose tissue;behavior/neurological;digestive/alimentary;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;integument;limbs/digits/tail;liver/biliary system;nervous system;normal;renal/urinary system;reproductive system;taste/olfaction;vision/eye"
chr15	72978527	73030817	BBS4	Bbs4	"adipose tissue;behavior/neurological;cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;nervous system;normal;pigmentation;reproductive system;respiratory system;taste/olfaction;vision/eye"
chr19	45312328	45324673	BCAM	Bcam	"digestive/alimentary;growth/size;mortality/aging;nervous system;normal;renal/urinary system;reproductive system"
chr1	156611182	156629324	BCAN	Bcan	"behavior/neurological;nervous system"
chr16	75262928	75301951	BCAR1	Bcar1	"cardiovascular system;cellular;embryogenesis;growth/size;liver/biliary system;mortality/aging;muscle"
chr1	94027347	94312706	BCAR3	Bcar3	"nervous system;vision/eye"
chr19	49298319	49314286	BCAT2	Bcat2	"adipose tissue;behavior/neurological;growth/size;homeostasis/metabolism;integument;mortality/aging;no phenotypic analysis;renal/urinary system"
chr3	165490692	165555260	BCHE	Bche	"homeostasis/metabolism;mortality/aging;reproductive system"
chr16	31117428	31124110	BCKDK	Bckdk	"adipose tissue;behavior/neurological;growth/size;homeostasis/metabolism;integument;liver/biliary system;mortality/aging;muscle;nervous system;renal/urinary system;reproductive system"
chr1	85731931	85742773	BCL10	Bcl10	"cellular;embryogenesis;hematopoietic system;immune system;mortality/aging;nervous system"
chr2	60678302	60780702	BCL11A	Bcl11a	"hematopoietic system;immune system;mortality/aging;no phenotypic analysis"
chr14	99635624	99737861	BCL11B	Bcl11b	"behavior/neurological;craniofacial;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;no phenotypic analysis;tumorigenesis;vision/eye"
chr18	60790579	60987361	BCL2	Bcl2	"cardiovascular system;craniofacial;digestive/alimentary;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;muscle;nervous system;pigmentation;renal/urinary system;reproductive system;respiratory system;tumorigenesis;vision/eye"
chr15	80253231	80263788	BCL2A1	Bcl2a1a	"immune system;integument;mortality/aging"
chr20	30252255	30311792	BCL2L1	Bcl2l1	"behavior/neurological;cellular;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;nervous system;reproductive system;tumorigenesis"
chr15	52401460	52404972	BCL2L10	Bcl2l10	"normal"
chr2	111876955	111926024	BCL2L11	Bcl2l11	"cardiovascular system;cellular;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;mortality/aging;nervous system;no phenotypic analysis;normal;pigmentation;renal/urinary system;reproductive system"
chr19	50168823	50177173	BCL2L12	Bcl2l12	"cellular;homeostasis/metabolism;immune system"
chr14	23767999	23780968	BCL2L2	Bcl2l2	"behavior/neurological;cellular;endocrine/exocrine gland;growth/size;homeostasis/metabolism;nervous system;reproductive system"
chr19	45250962	45263301	BCL3	Bcl3	"hematopoietic system;homeostasis/metabolism;immune system;mortality/aging"
chr3	187439165	187463515	BCL6	Bcl6	"cardiovascular system;cellular;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;muscle;reproductive system;respiratory system"
chr17	6926339	6933609	BCL6B	Bcl6b	"growth/size;hematopoietic system;immune system"
chr1	147013182	147098017	BCL9	Bcl9	"muscle"
chr11	118764584	118796317	BCL9L	Bcl9l	"muscle"
chr6	136578001	136610989	BCLAF1	Bclaf1	"behavior/neurological;growth/size;hematopoietic system;immune system;limbs/digits/tail;mortality/aging;no phenotypic analysis;respiratory system"
chr16	81272053	81324747	BCMO1	Bcmo1	"growth/size;homeostasis/metabolism;liver/biliary system"
chr11	112046190	112095422	BCO2	Bco2	"endocrine/exocrine gland;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;reproductive system"
chrX	39909068	40036582	BCOR	Bcor	"cardiovascular system;craniofacial;embryogenesis;mortality/aging;nervous system"
chr22	23521891	23660224	BCR	Bcr	"behavior/neurological;digestive/alimentary;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;nervous system;renal/urinary system"
chr14	96722161	96735304	BDKRB1	Bdkrb1	"behavior/neurological;cardiovascular system;homeostasis/metabolism;immune system;integument;mortality/aging;normal;renal/urinary system"
