## id.devdelay.genes
## ID genes from OMIM, HUGO, multiple reviews; DD genes from DECIPHER
## hg19, source=gm.id_devdelay created=10JUL2015:19:02:49
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 1518 entries. Columns: 5
#chr	bp1	bp2	geneName	type
chr7	30050203	30066300	FKBP14	"developmental delay"
chr19	47249303	47280245	FKRP	"intellectual disability // developmental delay"
chr9	108320411	108403399	FKTN	"intellectual disability // developmental delay"
chr1	152274651	152297679	FLG	"developmental delay"
chrX	153576892	153603006	FLNA	"intellectual disability // developmental delay"
chr3	57994127	58157982	FLNB	"developmental delay"
chr5	180028506	180076624	FLT4	"developmental delay"
chr1	213031597	213072705	FLVCR1	"developmental delay"
chr14	76044960	76129557	FLVCR2	"developmental delay"
chr1	240177648	240638489	FMN2	"intellectual disability"
chrX	146993469	147032645	FMR1	"intellectual disability // developmental delay"
chr11	71900602	71907345	FOLR1	"intellectual disability // developmental delay"
chr6	1610681	1614127	FOXC1	"developmental delay"
chr16	86600857	86602539	FOXC2	"developmental delay"
chr9	100615536	100618986	FOXE1	"developmental delay"
chr1	47881744	47883723	FOXE3	"developmental delay"
chr16	86544133	86548076	FOXF1	"developmental delay"
chr14	29235050	29238870	FOXG1	"developmental delay"
chr3	138663066	138665982	FOXL2	"developmental delay"
chr17	26833261	26865914	FOXN1	"developmental delay"
chr3	71003844	71633140	FOXP1	"intellectual disability // developmental delay"
chr7	113726382	114333827	FOXP2	"intellectual disability // developmental delay"
chrX	49106897	49121288	FOXP3	"developmental delay"
chr11	126138950	126148026	FOXRED1	"developmental delay"
chr4	78978724	79465423	FRAS1	"intellectual disability // developmental delay"
chr9	14734664	14910993	FREM1	"developmental delay"
chr13	39261266	39460074	FREM2	"developmental delay"
chrX	131211021	131262048	FRMD7	"developmental delay"
chr13	32605437	32870794	FRY	"intellectual disability // developmental delay"
chr21	47556176	47575481	FTCD	"developmental delay"
chr19	49468558	49470135	FTL	"developmental delay"
chr16	53737875	54155853	FTO	"intellectual disability // developmental delay"
chrX	48334541	48344752	FTSJ1	"intellectual disability // developmental delay"
chr1	24171567	24194784	FUCA1	"intellectual disability // developmental delay"
chr3	45959396	46037316	FYCO1	"developmental delay"
chr8	104310661	104345094	FZD6	"developmental delay"
chrX	153759606	153775787	G6PD	"intellectual disability"
chr17	78075355	78093678	GAA	"developmental delay"
chr5	161274197	161326975	GABRA1	"developmental delay"
chr15	26788693	27184686	GABRB3	"developmental delay"
chr2	171669723	171717661	GAD1	"developmental delay"
chr14	88304164	88460009	GALC	"developmental delay"
chr1	24122089	24127271	GALE	"intellectual disability // developmental delay"
chr17	73747675	73761792	GALK1	"developmental delay"
chr16	88880142	88923378	GALNS	"developmental delay"
chr9	34638130	34651032	GALT	"intellectual disability // developmental delay"
chr19	1397091	1401569	GAMT	"intellectual disability // developmental delay"
chr3	128198270	128212028	GATA2	"developmental delay"
chr8	11534468	11617511	GATA4	"developmental delay"
chr18	19749404	19782491	GATA6	"developmental delay"
chr1	153777201	153895451	GATAD2B	"intellectual disability // developmental delay"
chr15	45653322	45694525	GATM	"intellectual disability // developmental delay"
chr1	155204243	155214490	GBA	"developmental delay"
chr9	35736863	35749983	GBA2	"developmental delay"
chr19	13001840	13025021	GCDH	"intellectual disability // developmental delay"
chr14	55308726	55369570	GCH1	"intellectual disability // developmental delay"
chr16	81115566	81130008	GCSH	"intellectual disability // developmental delay"
chr19	18979361	19006905	GDF1	"developmental delay"
chr12	7842378	7848372	GDF3	"developmental delay"
chr20	34021145	34042568	GDF5	"developmental delay"
chr8	97154562	97173020	GDF6	"developmental delay"
chrX	153665266	153671814	GDI1	"intellectual disability // developmental delay"
chr17	42982376	42994305	GFAP	"intellectual disability // developmental delay"
chr16	2034208	2037750	GFER	"developmental delay"
chr3	158362067	158410364	GFM1	"developmental delay"
chr5	42423879	42721979	GHR	"developmental delay"
chr6	121756838	121770873	GJA1	"developmental delay"
chr13	20712394	20735188	GJA3	"developmental delay"
chr1	147374946	147381393	GJA8	"developmental delay"
chr13	20761609	20767037	GJB2	"developmental delay"
chr1	35246790	35251970	GJB3	"developmental delay"
chr13	20796110	20806534	GJB6	"developmental delay"
chr1	228337553	228347527	GJC2	"developmental delay"
chrX	30671476	30748725	GK	"intellectual disability // developmental delay"
chr3	33038100	33138722	GLB1	"intellectual disability // developmental delay"
chr9	6532464	6645650	GLDC	"intellectual disability // developmental delay"
chr9	131266979	131304567	GLE1	"developmental delay"
chr2	121493199	121750229	GLI2	"developmental delay"
chr7	42000548	42277469	GLI3	"intellectual disability // developmental delay"
chr16	4364762	4389598	GLIS2	"developmental delay"
chr9	3824127	4348392	GLIS3	"developmental delay"
chr1	92711959	92764544	GLMN	"developmental delay"
chr10	88810243	88854623	GLUD1	"developmental delay"
chr1	182350839	182361341	GLUL	"developmental delay"
chr5	150591711	150650001	GM2A	"intellectual disability // developmental delay"
chr2	220363589	220371710	GMPPA	"intellectual disability // developmental delay"
chr3	49754277	49761384	GMPPB	"intellectual disability // developmental delay"
chr1	110091233	110136975	GNAI3	"developmental delay"
chr16	56225302	56391356	GNAO1	"developmental delay"
chr20	57414773	57486247	GNAS	"intellectual disability // developmental delay"
chr1	231376953	231413719	GNPAT	"intellectual disability // developmental delay"
chr12	102139275	102224716	GNPTAB	"developmental delay"
chr16	1401924	1413352	GNPTG	"developmental delay"
chr12	65107225	65153227	GNS	"intellectual disability // developmental delay"
chr1	155719508	155829191	GON4L	"intellectual disability // developmental delay"
chrX	132669773	133119922	GPC3	"intellectual disability // developmental delay"
chr13	93879095	95059655	GPC6	"developmental delay"
chr14	66974125	67648520	GPHN	"intellectual disability"
chr19	34850385	34893061	GPI	"intellectual disability"
chr17	36481413	36499730	GPR179	"developmental delay"
chr16	57644564	57698944	GPR56	"developmental delay"
chr1	109417972	109477167	GPSM2	"developmental delay"
chr8	102504660	102681954	GRHL2	"developmental delay"
chr1	24645812	24690972	GRHL3	"developmental delay"
chr5	152869175	153193429	GRIA1	"intellectual disability"
chrX	122318006	122624766	GRIA3	"intellectual disability // developmental delay"
chr6	101846664	102517958	GRIK2	"intellectual disability // developmental delay"
chr9	140032842	140063207	GRIN1	"intellectual disability // developmental delay"
chr16	9852376	10276611	GRIN2A	"intellectual disability // developmental delay"
chr12	13693165	14133053	GRIN2B	"intellectual disability // developmental delay"
chr6	146348782	146758734	GRM1	"developmental delay"
chr5	178405328	178423207	GRM6	"developmental delay"
chr4	42895284	43032675	GRXCR1	"developmental delay"
chrX	51486481	51489324	GSPT2	"developmental delay"
chr20	33516236	33543620	GSS	"intellectual disability"
chr6	158589384	158620376	GTF2H5	"developmental delay"
chr12	14765576	14849519	GUCY2C	"developmental delay"
chr7	65425671	65447301	GUSB	"intellectual disability // developmental delay"
chr4	108910870	108956331	HADH	"developmental delay"
chr5	140052758	140071609	HARS	"developmental delay"
chr1	154244987	154248351	HAX1	"developmental delay"
chrX	11129421	11141198	HCCS	"intellectual disability // developmental delay"
chrX	153213004	153237258	HCFC1	"intellectual disability // developmental delay"
chr5	45259349	45696253	HCN1	"developmental delay"
chr2	239969864	240323348	HDAC4	"intellectual disability // developmental delay"
chrX	71549366	71792953	HDAC8	"intellectual disability // developmental delay"
chr11	124789089	124806308	HEPACAM	"intellectual disability"
chr15	28356186	28567298	HERC2	"intellectual disability"
chr3	57231944	57260549	HESX1	"intellectual disability // developmental delay"
chr15	72635775	72668817	HEXA	"intellectual disability // developmental delay"
chr5	73935848	74018472	HEXB	"intellectual disability // developmental delay"
chr7	81328322	81399754	HGF	"developmental delay"
chr8	42995556	43057998	HGSNAT	"developmental delay"
chr2	191054461	191208919	HIBCH	"developmental delay"
chr5	130494720	130507428	HINT1	"developmental delay"
chr6	26027124	26027480	HIST1H4B	"intellectual disability // developmental delay"
chr1	228612546	228613026	HIST3H3	"intellectual disability // developmental delay"
chr6	143072604	143266338	HIVEP2	"intellectual disability"
chr21	38123189	38362536	HLCS	"intellectual disability // developmental delay"
chr1	24128375	24165110	HMGCL	"intellectual disability // developmental delay"
chr1	120290619	120311528	HMGCS2	"developmental delay"
chr4	8847802	8873543	HMX1	"developmental delay"
chr17	36046435	36105237	HNF1B	"developmental delay"
chr20	42984340	43061485	HNF4A	"developmental delay"
chr1	245014468	245027844	HNRNPU	"developmental delay"
chr7	27132612	27135615	HOXA1	"developmental delay"
chr17	46605888	46608359	HOXB1	"developmental delay"
chr12	54332535	54340328	HOXC13	"developmental delay"
chr2	176957619	176960666	HOXD13	"developmental delay"
chr12	122277433	122301502	HPD	"intellectual disability // developmental delay"
chr4	175411328	175444305	HPGD	"developmental delay"
chrX	133594183	133654543	HPRT1	"intellectual disability // developmental delay"
chr10	100175955	100206684	HPS1	"developmental delay"
chr10	100218875	100995619	HPSE2	"developmental delay"
chr8	21971928	21990897	HR	"developmental delay"
chr11	532242	537287	HRAS	"intellectual disability // developmental delay"
chrX	53458206	53461320	HSD17B10	"intellectual disability // developmental delay"
chr5	118788138	118972894	HSD17B4	"developmental delay"
chr16	67197288	67203848	HSF4	"developmental delay"
chr2	198351305	198381461	HSPD1	"developmental delay"
chr1	22148738	22263790	HSPG2	"developmental delay"
chrX	53559057	53713673	HUWE1	"intellectual disability // developmental delay"
chr3	50337320	50349812	HYAL1	"developmental delay"
chr16	70841281	71264625	HYDIN	"developmental delay"
chr11	125753509	125770543	HYLS1	"developmental delay"
chrX	148558521	148615470	IDS	"intellectual disability // developmental delay"
chr4	980785	998316	IDUA	"intellectual disability // developmental delay"
chr2	163123589	163175213	IFIH1	"developmental delay"
chr11	298200	299526	IFITM5	"developmental delay"
chr3	129158968	129239198	IFT122	"developmental delay"
chr16	1560428	1662111	IFT140	"developmental delay"
chr2	27667238	27712656	IFT172	"developmental delay"
chr3	159974774	160117668	IFT80	"developmental delay"
chrX	69353299	69386174	IGBP1	"intellectual disability // developmental delay"
chr12	102789645	102874423	IGF1	"intellectual disability // developmental delay"
chr15	99192200	99507759	IGF1R	"developmental delay"
chr11	2150342	2170833	IGF2	"developmental delay"
chr4	57896939	57976551	IGFBP7	"developmental delay"
chr11	68671310	68708070	IGHMBP2	"developmental delay"
chrX	130407480	130533677	IGSF1	"developmental delay"
chr2	219919142	219925189	IHH	"developmental delay"
chrX	153769414	153796782	IKBKG	"intellectual disability // developmental delay"
chr19	55875757	55881831	IL11	"developmental delay"
chrX	28605516	29974840	IL1RAPL1	"intellectual disability // developmental delay"
chr3	121706170	121741051	ILDR1	"developmental delay"
chr8	57870492	57906403	IMPAD1	"developmental delay"
chr2	99061317	99210853	INPP4A	"intellectual disability // developmental delay"
chr9	139323071	139334274	INPP5E	"intellectual disability // developmental delay"
chr11	71934745	71950149	INPPL1	"developmental delay"
chrX	53262058	53350522	IQSEC2	"intellectual disability // developmental delay"
chr1	209959036	209979465	IRF6	"developmental delay"
chr16	54964774	54968397	IRX5	"developmental delay"
chr7	16130817	16460947	ISPD	"developmental delay"
chr20	32951041	33099198	ITCH	"developmental delay"
chr17	48133332	48167845	ITGA3	"developmental delay"
chr2	173292082	173371181	ITGA6	"developmental delay"
chr12	56078352	56109827	ITGA7	"intellectual disability // developmental delay"
chr10	15555948	15762124	ITGA8	"developmental delay"
chr3	4535032	4889524	ITPR1	"developmental delay"
chr15	40697686	40728146	IVD	"developmental delay"
chr3	9932238	9936033	JAGN1	"developmental delay"
chr19	17935589	17958880	JAK3	"developmental delay"
chr11	133938820	134021896	JAM3	"developmental delay"
chr9	470291	746105	KANK1	"developmental delay"
chr17	44107282	44302733	KANSL1	"developmental delay"
chr16	75661622	75682541	KARS	"developmental delay"
chr8	41786997	41909508	KAT6A	"intellectual disability"
chr10	76585340	76792380	KAT6B	"intellectual disability // developmental delay"
chr15	65369154	65372276	KBTBD13	"developmental delay"
chr19	50815194	50836772	KCNC3	"developmental delay"
chr21	35818988	35884573	KCNE1	"developmental delay"
chr1	210856555	211307457	KCNH1	"developmental delay"
chr14	63173287	63568755	KCNH5	"developmental delay"
chr11	128706210	128737268	KCNJ1	"intellectual disability"
chr1	160007257	160040038	KCNJ10	"developmental delay"
chr11	17407406	17410878	KCNJ11	"intellectual disability // developmental delay"
chr8	140613081	140715299	KCNK9	"intellectual disability // developmental delay"
chr10	78629359	79398353	KCNMA1	"developmental delay"
chr11	2465914	2870339	KCNQ1	"developmental delay"
chr20	62037542	62103993	KCNQ2	"developmental delay"
chr8	133133108	133493200	KCNQ3	"intellectual disability"
chr9	138594031	138684992	KCNT1	"developmental delay"
chr18	24034874	24237365	KCTD1	"developmental delay"
chr7	66093868	66276446	KCTD7	"developmental delay"
chr12	389295	498620	KDM5A	"intellectual disability // developmental delay"
chrX	53220503	53254604	KDM5C	"intellectual disability // developmental delay"
chrX	44732757	44971847	KDM6A	"developmental delay"
chr17	7743222	7758114	KDM6B	"intellectual disability // developmental delay"
chr3	197398264	197476598	KIAA0226	"developmental delay"
chr10	70748487	70776738	KIAA1279	"developmental delay"
chrX	73952684	74145282	KIAA2022	"intellectual disability // developmental delay"
chr10	94353043	94415150	KIF11	"intellectual disability // developmental delay"
chr2	241653181	241759725	KIF1A	"intellectual disability // developmental delay"
chr16	29802040	29816706	KIF22	"developmental delay"
chr5	61601989	61833076	KIF2A	"developmental delay"
chrX	69509879	69640682	KIF4A	"intellectual disability // developmental delay"
chr2	149632819	149883273	KIF5C	"intellectual disability // developmental delay"
chr15	90152020	90198682	KIF7	"intellectual disability // developmental delay"
chr11	126293254	126873355	KIRREL3	"intellectual disability // developmental delay"
chr4	55524085	55606881	KIT	"developmental delay"
chr19	12995237	12997995	KLF1	"developmental delay"
chrX	56258854	56314322	KLF8	"developmental delay"
chr3	42727011	42734036	KLHL40	"developmental delay"
chr11	118307205	118397539	KMT2A	"developmental delay"
chr12	49412758	49453557	KMT2D	"developmental delay"
chr19	47978401	47987525	KPTN	"intellectual disability // developmental delay"
chr12	25357723	25403870	KRAS	"intellectual disability // developmental delay"
chr7	91828283	91875480	KRIT1	"developmental delay"
chr12	52959566	52967609	KRT74	"developmental delay"
chrX	153126969	153174677	L1CAM	"intellectual disability // developmental delay"
chr14	50704281	50779266	L2HGDH	"intellectual disability // developmental delay"
chr18	6941743	7117813	LAMA1	"intellectual disability // developmental delay"
chr6	129204342	129837714	LAMA2	"intellectual disability // developmental delay"
chr7	107564244	107643700	LAMB1	"developmental delay"
chr9	133884469	133969860	LAMC3	"developmental delay"
chrX	119561682	119603220	LAMP2	"intellectual disability // developmental delay"
chr22	33558212	34318829	LARGE	"intellectual disability // developmental delay"
chr4	113558120	113578748	LARP7	"intellectual disability // developmental delay"
chr3	45429998	45590913	LARS2	"developmental delay"
chr1	225589204	225616627	LBR	"developmental delay"
chr10	88428206	88495825	LDB3	"developmental delay"
chr1	226124298	226129189	LEFTY2	"developmental delay"
chr12	65563351	65642107	LEMD3	"developmental delay"
chr1	43212006	43232755	LEPRE1	"developmental delay"
chr7	2552163	2568811	LFNG	"developmental delay"
chr9	139088096	139096955	LHX3	"developmental delay"
chr1	180199421	180249380	LHX4	"developmental delay"
chr13	108859787	108870716	LIG4	"developmental delay"
chr7	73497263	73536855	LIMK1	"intellectual disability"
chr15	101099574	101143435	LINS	"intellectual disability // developmental delay"
chr10	90521163	90537999	LIPN	"developmental delay"
chr6	70385694	70507003	LMBRD1	"developmental delay"
chr1	156052364	156109880	LMNA	"developmental delay"
chr9	129376722	129463311	LMX1B	"developmental delay"
chr18	44056935	44236996	LOXHD1	"developmental delay"
chr4	155548097	155674270	LRAT	"developmental delay"
chr4	151185594	151936879	LRBA	"developmental delay"
chr1	113615831	113674882	LRIG2	"developmental delay"
chr4	110769358	110793471	LRIT3	"developmental delay"
chr12	57522276	57607134	LRP1	"intellectual disability"
chr2	169983619	170219195	LRP2	"intellectual disability // developmental delay"
chr11	46878419	46940193	LRP4	"developmental delay"
chr11	68080077	68216743	LRP5	"developmental delay"
chr4	3508103	3534286	LRPAP1	"developmental delay"
chr2	44113647	44223144	LRPPRC	"intellectual disability // developmental delay"
chr8	133584320	133687838	LRRC6	"developmental delay"
chr11	71791382	71821828	LRTOMT	"developmental delay"
chr14	74964873	75079306	LTBP2	"developmental delay"
chr1	235824341	236046940	LYST	"developmental delay"
chr4	151503077	151505843	MAB21L2	"developmental delay"
chr16	79619740	79634611	MAF	"developmental delay"
chr20	39314488	39317880	MAFB	"developmental delay"
chr15	23888691	23891175	MAGEL2	"developmental delay"
chrX	77081861	77151090	MAGT1	"intellectual disability // developmental delay"
chrX	149529689	149682448	MAMLD1	"developmental delay"
chr9	139981379	140003635	MAN1B1	"intellectual disability // developmental delay"
chr19	12757325	12777556	MAN2B1	"intellectual disability // developmental delay"
chr4	103552660	103682151	MANBA	"intellectual disability // developmental delay"
chrX	43515467	43606068	MAOA	"intellectual disability // developmental delay"
chr15	66679155	66784650	MAP2K1	"intellectual disability // developmental delay"
chr19	4090319	4124126	MAP2K2	"intellectual disability // developmental delay"
chr5	56111401	56191979	MAP3K1	"developmental delay"
chr4	86936276	87515284	MAPK10	"developmental delay"
chr5	68710939	68740157	MARVELD2	"developmental delay"
chr3	186935942	187009810	MASP1	"developmental delay"
chr10	82031576	82049440	MAT1A	"intellectual disability // developmental delay"
chr2	20191872	20212455	MATN3	"developmental delay"
chr2	148778580	149275805	MBD5	"intellectual disability // developmental delay"
chr18	13882043	13915706	MC2R	"developmental delay"
chr3	182733006	182833863	MCCC1	"intellectual disability // developmental delay"
chr5	70883115	70954531	MCCC2	"intellectual disability // developmental delay"
chr2	71336814	71357369	MCEE	"developmental delay"
chr19	7587512	7598895	MCOLN1	"intellectual disability // developmental delay"
chr8	6264113	6501144	MCPH1	"intellectual disability // developmental delay"
chrX	153287024	153363212	MECP2	"intellectual disability // developmental delay"
chrX	70338406	70362303	MED12	"intellectual disability // developmental delay"
chr12	116395711	116715143	MED13L	"intellectual disability // developmental delay"
chr11	93517393	93547861	MED17	"intellectual disability // developmental delay"
chr6	131895106	131949369	MED23	"intellectual disability // developmental delay"
chr5	88013975	88199922	MEF2C	"intellectual disability // developmental delay"
chr5	126626523	126801429	MEGF10	"developmental delay"
chr19	42829761	42882921	MEGF8	"developmental delay"
chr17	41717756	41739322	MEOX1	"developmental delay"
chr15	90303822	90321982	MESP2	"developmental delay"
chr17	74722912	74730018	METTL23	"intellectual disability"
chr11	119209652	119217383	MFRP	"developmental delay"
chr4	128838960	128887150	MFSD8	"developmental delay"
chr14	50087489	50090198	MGAT2	"intellectual disability // developmental delay"
chr12	15034115	15038860	MGP	"developmental delay"
chr18	19284918	19450918	MIB1	"intellectual disability"
chr10	74127098	74385899	MICU1	"developmental delay"
chrX	10413350	10851773	MID1	"intellectual disability // developmental delay"
chrX	107068985	107170423	MID2	"intellectual disability"
chr13	92000074	92006833	MIR17HG	"developmental delay"
chr15	79502130	79502213	MIR184	"developmental delay"
chr7	129414532	129414609	MIR96	"developmental delay"
chr3	69788586	70017488	MITF	"developmental delay"
chr20	10381657	10414870	MKKS	"intellectual disability // developmental delay"
chr17	56282803	56296966	MKS1	"developmental delay"
chr22	50497820	50524331	MLC1	"developmental delay"
chr16	83932731	83949787	MLYCD	"intellectual disability // developmental delay"
chr4	146539415	146581187	MMAA	"developmental delay"
chr12	109991542	110011679	MMAB	"developmental delay"
chr1	45965725	45976739	MMACHC	"developmental delay"
chr2	150426148	150444330	MMADHC	"developmental delay"
chr11	102813724	102826463	MMP13	"developmental delay"
chr14	23305766	23318236	MMP14	"developmental delay"
chr7	156786745	156803345	MNX1	"developmental delay"
chr6	39867354	39902290	MOCS1	"intellectual disability // developmental delay"
chr5	52391509	52405893	MOCS2	"intellectual disability // developmental delay"
chr2	74688184	74692537	MOGS	"intellectual disability // developmental delay"
chr17	7486847	7496107	MPDU1	"intellectual disability // developmental delay"
chr15	75182346	75191798	MPI	"developmental delay"
chr7	40165622	40174258	MPLKIP	"developmental delay"
chr2	27532360	27548547	MPV17	"developmental delay"
chr11	94152895	94227074	MRE11A	"developmental delay"
chr1	19578033	19586622	MRTO4	"intellectual disability"
chr12	65672423	65882024	MSRB3	"developmental delay"
chr4	4861393	4865663	MSX1	"developmental delay"
chr5	174151536	174157896	MSX2	"developmental delay"
chrM	8527	9207	MT-ATP6	"intellectual disability"
chrM	5904	7445	MT-CO1	"intellectual disability"
chrM	7586	8269	MT-CO2	"intellectual disability"
chrM	9207	9990	MT-CO3	"intellectual disability"
chrM	14747	15887	MT-CYB	"intellectual disability"
chrM	12337	14148	MT-ND5	"intellectual disability"
chrM	14674	14742	MT-TE	"intellectual disability"
chrM	8295	8364	MT-TK	"intellectual disability"
chrM	3230	3304	MT-TL1	"intellectual disability"
chrM	12207	12265	MT-TS2	"intellectual disability"
chrM	1602	1670	MT-TV	"intellectual disability"
chr1	38275239	38325292	MTF1	"intellectual disability // developmental delay"
chr1	11845780	11866977	MTHFR	"intellectual disability // developmental delay"
chrX	149737069	149841795	MTM1	"intellectual disability // developmental delay"
chr3	9691117	9744077	MTMR14	"developmental delay"
chr6	74171301	74218959	MTO1	"developmental delay"
chr1	11166592	11322564	MTOR	"developmental delay"
chr1	236958610	237067281	MTR	"intellectual disability // developmental delay"
chr5	7851299	7906138	MTRR	"intellectual disability // developmental delay"
chr4	100484918	100545156	MTTP	"developmental delay"
chr6	49398073	49430904	MUT	"developmental delay"
chr2	16080686	16087129	MYCN	"developmental delay"
chr17	10531843	10560626	MYH3	"developmental delay"
chr14	23851199	23877486	MYH6	"developmental delay"
chr17	10293639	10325267	MYH8	"developmental delay"
chr22	36677327	36784063	MYH9	"developmental delay"
chr17	18012020	18083116	MYO15A	"developmental delay"
chr15	52599480	52821247	MYO5A	"intellectual disability // developmental delay"
chr18	47349183	47721463	MYO5B	"developmental delay"
chr11	76839310	76926284	MYO7A	"developmental delay"
chr1	171604557	171621823	MYOC	"developmental delay"
chr2	1792885	2335032	MYT1L	"intellectual disability // developmental delay"
chrX	153194695	153200676	NAA10	"intellectual disability // developmental delay"
chr4	140222609	140341187	NAA15	"developmental delay"
chr22	42454358	42466846	NAGA	"developmental delay"
chr17	40688190	40696467	NAGLU	"intellectual disability // developmental delay"
chr17	42081914	42086431	NAGS	"developmental delay"
chr13	101706130	102068843	NALCN	"developmental delay"
chr8	90945564	91015456	NBN	"developmental delay"
chr16	15737124	15820210	NDE1	"developmental delay"
chr15	29560353	29562033	NDNL2	"developmental delay"
chrX	43808022	43832750	NDP	"intellectual disability // developmental delay"
chr5	149865381	149937773	NDST1	"intellectual disability // developmental delay"
chrX	119005450	119010625	NDUFA1	"intellectual disability // developmental delay"
chr5	60240956	60448853	NDUFAF2	"developmental delay"
chr2	206979541	207024327	NDUFS1	"intellectual disability // developmental delay"
chr1	161166894	161184185	NDUFS2	"intellectual disability"
chr5	52856463	52979168	NDUFS4	"intellectual disability // developmental delay"
chr19	1383526	1395583	NDUFS7	"intellectual disability // developmental delay"
chr11	67798084	67804111	NDUFS8	"intellectual disability // developmental delay"
chr11	67374323	67380006	NDUFV1	"intellectual disability // developmental delay"
chr2	152341850	152591001	NEB	"developmental delay"
chr18	55711599	56068772	NEDD4L	"developmental delay"
chr4	170314426	170533780	NEK1	"developmental delay"
chr17	27052915	27070473	NEK8	"developmental delay"
chr6	31825436	31830683	NEU1	"intellectual disability // developmental delay"
chr17	29421945	29709134	NF1	"intellectual disability // developmental delay"
chr1	61330931	61928465	NFIA	"developmental delay"
chr19	13106422	13209610	NFIX	"developmental delay"
chr2	69622882	69664760	NFU1	"developmental delay"
chr3	25760435	25831530	NGLY1	"developmental delay"
chr5	177576461	177580968	NHP2	"developmental delay"
chrX	17393543	17754114	NHS	"intellectual disability // developmental delay"
chr5	36876861	37066515	NIPBL	"developmental delay"
chr14	36985602	36990354	NKX2-1	"developmental delay"
chr5	172659112	172662360	NKX2-5	"developmental delay"
chr4	13542454	13546674	NKX3-2	"developmental delay"
chrX	70364681	70391051	NLGN3	"intellectual disability // developmental delay"
chrX	5758678	6146904	NLGN4X	"intellectual disability // developmental delay"
chr1	247579458	247612410	NLRP3	"intellectual disability"
chr1	10003486	10045559	NMNAT1	"developmental delay"
chr10	72192071	72207707	NODAL	"developmental delay"
chr17	54671060	54672951	NOG	"developmental delay"
chr15	34633917	34635378	NOP10	"developmental delay"
chr9	139388896	139440314	NOTCH1	"developmental delay"
chr1	120454176	120612240	NOTCH2	"developmental delay"
chr19	15270444	15311792	NOTCH3	"developmental delay"
chr18	21086148	21166862	NPC1	"intellectual disability // developmental delay"
chr14	74942895	74960880	NPC2	"intellectual disability // developmental delay"
chr2	110879888	110962643	NPHP1	"developmental delay"
chr3	132276986	132441303	NPHP3	"developmental delay"
chr1	5922871	6052533	NPHP4	"developmental delay"
chr19	36316866	36360189	NPHS1	"developmental delay"
chr1	179519674	179545087	NPHS2	"developmental delay"
chr9	35792151	35809729	NPR2	"developmental delay"
chr1	161199456	161208092	NR1I3	"developmental delay"
chr5	92919043	92930321	NR2F1	"developmental delay"
chr15	96869167	96883492	NR2F2	"developmental delay"
chr9	127243516	127269709	NR5A1	"developmental delay"
chr1	115247090	115259515	NRAS	"developmental delay"
chr2	50145643	51259674	NRXN1	"intellectual disability // developmental delay"
chr11	64373646	64490660	NRXN2	"developmental delay"
chr14	78708734	80330762	NRXN3	"developmental delay"
chr5	176560026	176727216	NSD1	"intellectual disability // developmental delay"
chrX	151999511	152038273	NSDHL	"developmental delay"
chr5	6599352	6633404	NSUN2	"intellectual disability // developmental delay"
chr7	33053742	33102409	NT5C3A	"developmental delay"
chr1	156785432	156851642	NTRK1	"intellectual disability // developmental delay"
chr14	31959162	32330430	NUBPL	"developmental delay"
chr19	50410082	50433020	NUP62	"developmental delay"
chrX	101087085	101112549	NXF5	"intellectual disability"
chrX	41306687	41334963	NYX	"developmental delay"
chr10	126085872	126107545	OAT	"intellectual disability"
chr2	220415451	220436581	OBSL1	"developmental delay"
chrX	128673826	128726538	OCRL	"intellectual disability // developmental delay"
chrX	13752832	13787480	OFD1	"intellectual disability // developmental delay"
chrX	67262186	67653755	OPHN1	"intellectual disability // developmental delay"
chr1	52838501	52870131	ORC1	"developmental delay"
chr2	148687968	148779147	ORC4	"developmental delay"
chr16	46723555	46732306	ORC6	"developmental delay"
chrX	38211798	38280703	OTC	"intellectual disability // developmental delay"
chr16	21689835	21772050	OTOA	"developmental delay"
chr2	26680071	26781566	OTOF	"developmental delay"
chr12	80603233	80772870	OTOGL	"developmental delay"
chr14	57267425	57277197	OTX2	"developmental delay"
chr5	41730167	41870621	OXCT1	"developmental delay"
chr11	65837834	66012218	PACS1	"intellectual disability // developmental delay"
chr17	2496504	2588909	PAFAH1B1	"intellectual disability // developmental delay"
chr12	103230663	103352188	PAH	"intellectual disability // developmental delay"
chrX	110187513	110470589	PAK3	"intellectual disability // developmental delay"
chr16	23614488	23652631	PALB2	"developmental delay"
chr20	3869486	3907605	PANK2	"intellectual disability"
chr10	89419370	89507462	PAPSS2	"developmental delay"
chr1	226548392	226595780	PARP1	"intellectual disability // developmental delay"
chr10	102495360	102589698	PAX2	"developmental delay"
chr2	223064607	223163715	PAX3	"developmental delay"
chr11	31806340	31839509	PAX6	"developmental delay"
chr2	113973574	114036527	PAX8	"intellectual disability // developmental delay"
chr14	37126773	37148920	PAX9	"developmental delay"
chr11	66615704	66725847	PC	"intellectual disability // developmental delay"
chr10	72642037	72648541	PCBD1	"developmental delay"
chr13	100741269	101182686	PCCA	"intellectual disability // developmental delay"
chr3	135969148	136056738	PCCB	"intellectual disability // developmental delay"
chrX	99546642	99665271	PCDH19	"developmental delay"
chr17	36890150	36906070	PCGF2	"developmental delay"
chr21	47744036	47865682	PCNT	"developmental delay"
chr3	195941093	196014828	PCYT1A	"developmental delay"
